# hermetic-bands: photonic band structure
# Raman & Fan, PRL 104, 087401 (2010)
# Mode       : TM
# Resolution : 30
# Fill frac  : 0.25
# eps_inf    : 1
# gamma/omegap: 0
# Columns    : k_index  k*a/pi  omega_1/omegap  omega_2  ...
0  0.00000000e+00  -6.00799041e+16  -1.64595203e+16  -3.74000002e+00  3.76000002e+00  1.01604135e+15  1.46103157e+15  2.05836158e+16  2.16122794e+16  7.80148344e+16  9.52008025e+16
1  2.56410256e-02  -9.15268918e+16  -2.90015264e+16  -1.23061324e+16  -1.02276048e+16  4.49094111e+14  6.76583425e+15  1.68067232e+16  2.09379079e+16  2.79366312e+16  5.71037414e+16
2  5.12820513e-02  -1.16923143e+17  -2.05394086e+16  -8.75374480e+15  -1.25208893e+15  5.98467457e+14  8.26776414e+15  1.47373003e+16  1.48101889e+16  4.02669973e+16  6.69383185e+16
3  7.69230769e-02  -8.56640300e+16  -2.32498571e+16  -2.26573084e+16  -7.00358249e+15  5.36126831e-03  1.46387317e-02  6.14026605e+15  1.32652242e+16  1.65150637e+16  9.58368554e+16
4  1.02564103e-01  -4.97050268e+16  -2.48463184e+16  -1.70059048e+16  -2.33752290e+15  6.52094275e-03  1.34790573e-02  1.27460126e+16  2.58856039e+16  2.61110311e+16  7.16354302e+16
5  1.28205128e-01  -2.86808905e+17  -3.01652256e+16  -1.80035367e+16  -8.51237497e+15  7.21674624e-03  1.27832538e-02  2.89955030e+15  1.41891051e+16  2.39428664e+16  7.20575940e+16
6  1.53846154e-01  -2.99028392e+16  -2.39077797e+16  -1.98413101e+16  -1.75721771e+16  7.68061401e-03  1.23193860e-02  6.05517874e+15  1.66154643e+16  3.00352739e+16  6.53642907e+16
7  1.79487179e-01  -5.68061083e+16  -4.09429910e+16  -3.17716085e+16  -2.50600062e+16  -2.29284121e+16  -8.28961747e+15  8.01194700e-03  1.19880530e-02  1.47867978e+16  8.18776649e+16
8  2.05128205e-01  -4.79267425e+16  -3.33245995e+16  -7.75628706e+14  8.26044573e-03  1.00000000e-02  1.17395543e-02  2.09579012e+16  2.70444059e+16  4.42125095e+16  4.47210705e+17
9  2.30769231e-01  -5.91481544e+16  -3.76182332e+16  8.45372160e-03  1.15462784e-02  1.00669577e+16  1.84942696e+16  2.31267108e+16  1.00400942e+17  1.13075291e+17  1.69468764e+17
10  2.56410256e-01  -6.81578319e+16  -1.24813695e+16  -1.97038527e+15  8.60834148e-03  1.13916585e-02  1.16516707e+16  3.20180929e+16  4.09429910e+16  4.13346448e+16  7.70119572e+16
11  2.82051282e-01  -7.58582210e+16  -6.49340522e+16  -4.02203495e+16  -3.73666841e+16  -3.43539512e+16  8.73484789e-03  1.12651521e-02  1.90332159e+16  3.26581665e+16  9.83727566e+16
12  3.07692308e-01  -6.25748683e+16  -2.40122040e+16  8.84026921e-03  1.11597308e-02  1.50934693e+16  1.81374327e+16  2.50233343e+16  3.86432444e+16  2.10203016e+17  2.38902037e+17
13  3.33333333e-01  -1.25438814e+17  -3.74370507e+16  -2.79463198e+16  8.92947122e-03  1.10705288e-02  5.72565839e+15  6.30552464e+15  1.60632916e+16  2.60919672e+16  4.26708910e+16
14  3.58974359e-01  -8.82947326e+16  -3.30977346e+16  -2.74996151e+16  9.00592950e-03  1.00000000e-02  1.00000000e-02  1.00000000e-02  1.09940705e-02  1.61194960e+16  3.35100331e+16
15  3.84615385e-01  -1.86700654e+17  -4.71830116e+16  -3.25400886e+15  -2.48177953e+15  9.07219278e-03  1.09278072e-02  2.08226185e+16  3.62952717e+16  8.30679469e+16  2.72134636e+17
16  4.10256410e-01  -3.18676561e+16  -1.73301138e+16  -1.14840848e+16  9.13017262e-03  1.08698274e-02  7.89568734e+15  3.55809591e+16  3.75740113e+16  4.40341348e+16  6.97912002e+16
17  4.35897436e-01  -5.66460878e+16  -3.55207032e+16  -1.99385823e+16  9.18133082e-03  1.08186692e-02  2.11236909e+16  2.96043411e+16  3.15470728e+16  1.70280906e+17  2.85239424e+17
18  4.61538462e-01  -1.72480603e+17  -3.71775844e+16  -3.11029950e+16  -2.33568319e+16  9.22680431e-03  1.07731957e-02  1.43425826e+16  3.18820040e+16  5.40689497e+16  3.44961206e+17
19  4.87179487e-01  -1.98176937e+17  -3.77948629e+16  -2.27673829e+16  -1.68522651e+16  9.26749068e-03  1.00000000e-02  1.07325093e-02  3.39093939e+16  9.70553028e+16  1.05749315e+17
20  5.12820513e-01  -2.88218571e+17  -1.05350070e+17  -6.20020232e+16  -1.54399320e+16  9.30410799e-03  1.06958920e-02  1.21269967e+16  1.90911297e+16  3.12400076e+16  5.37178800e+16
21  5.38461538e-01  -6.36825036e+16  -2.48196534e+16  -1.57374798e+16  9.33723754e-03  1.00000000e-02  1.06627625e-02  7.41940984e+15  2.17440449e+16  4.99025487e+16  5.75917249e+16
22  5.64102564e-01  -5.63260750e+16  -4.75495612e+16  -4.49721688e+16  -2.50411642e+16  -1.70816203e+16  9.36735493e-03  1.06326451e-02  1.00056830e+16  6.48803506e+16  6.49566891e+16
23  5.89743590e-01  -5.15665774e+16  -3.98435305e+16  -1.97501773e+16  -1.52082190e+16  9.39485306e-03  1.06051469e-02  3.19825088e+16  5.76829628e+16  6.24550285e+16  8.22735764e+16
24  6.15384615e-01  -2.59490309e+17  -7.17687964e+16  -3.31721860e+16  -1.99525615e+16  -1.03754212e+16  1.51896922e+16  1.79195913e+16  2.77252400e+16  7.12938003e+16  1.78819812e+17
25  6.41025641e-01  -1.86715112e+17  -3.83238760e+16  -1.75380811e+16  -1.18971606e+16  -5.35650304e+15  -2.08265790e+15  6.01527463e+15  7.39412107e+15  1.61084897e+16  5.73136363e+16
26  6.66666667e-01  -9.56311187e+16  -4.84066849e+16  -2.14370306e+16  1.00000000e-02  1.62570878e+15  1.72034697e+16  2.18486134e+16  4.34929203e+16  6.10814575e+16  1.31989087e+17
27  6.92307692e-01  -5.55368675e+16  -4.90077020e+16  -3.36149613e+16  -3.08429547e+16  -3.02285193e+16  -2.14183512e+16  1.00000000e-02  9.83706938e+15  2.65276783e+16  7.70465887e+16
28  7.17948718e-01  -2.81586908e+17  -7.19514972e+16  -5.90224163e+16  -3.23044516e+16  -3.07731019e+16  -2.08311480e+16  -1.71557661e+16  7.55373876e+15  3.23865545e+16  6.56654431e+16
29  7.43589744e-01  -2.13528434e+16  -2.09887569e+16  -2.05011933e+16  -1.51619456e+16  -1.04961037e+16  1.84916604e+16  1.98168224e+16  2.29471681e+16  4.80244079e+16  1.66257085e+17
30  7.69230769e-01  -6.89922412e+16  -5.46165151e+16  -5.32171672e+16  -3.69580712e+16  -8.84581178e+15  -5.07647179e+15  1.55573200e+16  1.87365698e+16  2.58798094e+16  4.73816327e+16
31  7.94871795e-01  -3.66802663e+16  -2.57009227e+16  -1.25456817e+16  1.68864979e+16  1.75822768e+16  2.03401705e+16  2.79569698e+16  4.56731365e+16  8.17792029e+16  9.46022946e+16
32  8.20512821e-01  -5.10506702e+16  -4.83386266e+16  -3.94362572e+16  -1.30643513e+16  -1.12211310e+16  1.00000000e-02  2.14284781e+15  4.37059584e+15  1.34742796e+16  2.76100677e+16
33  8.46153846e-01  -8.18776649e+16  -2.75694747e+16  -2.19051785e+16  1.00000000e-02  1.06538592e+16  1.21909721e+16  1.97149694e+16  2.69832229e+16  5.57519656e+16  6.37333798e+16
34  8.71794872e-01  -5.07479295e+16  -4.05259428e+16  -1.44471471e+16  7.22097151e+15  1.20355232e+16  2.19281771e+16  3.24447742e+16  5.03712935e+16  5.88970661e+16  7.12702911e+16
